glyph name;code points
A;U+0041
A.alt;
A.alt2;
B;U+0042
B.alt;
C;U+0043
C.alt;
C.alt2;
C.alt3;
D;U+0044
E;U+0045
F;U+0046
G;U+0047
G.alt;
H;U+0048
H.alt2;
I;U+0049
I.alt;
J;U+004A
J.alt;
K;U+004B
L;U+004C
L.alt;
M;U+004D
M.alt;
N;U+004E
N.alt;
O;U+004F
O.alt;
P;U+0050
P.alt;
Q;U+0051
R;U+0052
R.alt;
R.alt2;
S;U+0053
S.alt;
T;U+0054
T.alt;
T.alt2;
U;U+0055
V;U+0056
V.alt;
W;U+0057
W.alt;
X;U+0058
X.alt;
Y;U+0059
Y.alt;
Z;U+005A
Z.alt;
a;U+0061
ampersand;U+0026
b;U+0062
c;U+0063
colon;U+003A
ctom;
ctom.alt;
ctom.alt2;
ctom.half;
d;U+0064
dotom;
dotom.alt;
e;U+0065
etom;
etom.alt;
etom.alt2;
exclam;U+0021
f;U+0066
f.alt;
g;U+0067
h;U+0068
i;U+0069
itom;
itom-alt4;
itom.alt;
itom.alt2;
itom.alt3;
itom.alt4;
itom.alt5;
itom.half;
itom.half2;
itom.half3;
j;U+006A
jtom;
jtom.alt;
jtom.alt2;
k;U+006B
ktom;
ktom.alt;
ktom.alt2;
ktom.alt3;
ktom.half;
l;U+006C
m;U+006D
n;U+006E
o;U+006F
p;U+0070
parenleft;U+0028
parenright;U+0029
period;U+002E
q;U+0071
question;U+003F
r;U+0072
s;U+0073
semicolon;U+003B
space;U+0020
t;U+0074
u;U+0075
v;U+0076
vtom;
vtom.alt;
vtom.alt2;
vtom.alt3;
w;U+0077
x;U+0078
x.alt;
y;U+0079
z;U+007A
zero;U+0030
